year,borough,zip,complaints,pop,complaints_norm,median_income,pct_below_poverty,pct_white,pct_black_or_african_american,pct_american_indian_or_alaska_native,pct_asian,pct_native_hawaiian_and_other_pacific_islande,pct_hispanic_or_latino
2020,BROOKLYN,11203,2020,77589,2603.461831,57707,14.80392492,4.362731831,86.49035301,0.162394154,1.965484798,0,6.83602057
2020,BROOKLYN,11204,735,75840,969.1455696,54984,18.81802721,55.45094937,1.065400844,0.613132911,33.1592827,0.014504219,11.92246835
2020,BROOKLYN,11205,395,47866,825.220407,62952,23.99427856,52.64488363,28.55680441,0.501399741,6.158860151,0.010445828,16.44382234
2020,BROOKLYN,11206,722,87599,824.210322,43065,31.10292483,46.22427197,22.48655807,0.953207228,6.425872441,0.213472757,37.64769004
2020,BROOKLYN,11207,1561,90867,1717.895386,42276,29.05615995,13.75857022,63.7162006,0.303740632,1.539612841,0.133161654,32.55747411
2020,BROOKLYN,11208,1381,102626,1345.662892,45946,25.26478119,23.25336659,52.76050903,0.206575332,6.694210044,0.063336776,39.88365521
2020,BROOKLYN,11209,2368,68368,3463.608706,79524,11.24854382,70.84600983,4.161303534,0.140416569,13.07775568,0.084835011,17.79048678
2020,BROOKLYN,11210,1272,62423,2037.710459,70776,11.48231202,31.80878843,56.45355077,0.038447367,3.795075533,0,7.599762908
2020,BROOKLYN,11211,843,104561,806.2279435,90871,17.58653634,71.19289219,6.280544371,0.334732835,6.351316456,0.030604145,23.94296152
2020,BROOKLYN,11212,2166,74037,2925.564245,29385,35.35424744,8.641625133,77.35996866,0.072936505,0.914407661,0.071585829,17.98290044
2020,BROOKLYN,11213,2290,67382,3398.533733,48318,21.70830648,25.18476745,64.16105191,0.126146449,2.070285833,0.023745214,11.74200825
2020,BROOKLYN,11214,1540,90372,1704.067632,57639,17.4385976,46.83972912,2.01389811,0.234585934,36.94839109,0.00442615,17.67693533
2020,BROOKLYN,11215,525,69995,750.0535753,144330,6.756286132,74.17958426,4.068862062,0.227159083,9.127794842,0,15.76112579
2020,BROOKLYN,11216,1534,59567,2575.251398,77343,15.2652206,32.11173972,50.99635704,0.221599208,4.858394749,0.043648329,12.28028942
2020,BROOKLYN,11217,304,42461,715.9511081,122598,13.19589843,57.00289678,19.5190881,0.091848991,9.2013848,0.058877558,15.61197334
2020,BROOKLYN,11218,1270,73280,1733.078603,78249,14.21943773,59.18122271,9.151200873,0.420305677,19.74072052,0,14.50600437
2020,BROOKLYN,11219,685,87812,780.0756161,41907,30.26266181,65.7074204,1.474741493,0.354165718,24.27572541,0.051245843,12.39238373
2020,BROOKLYN,11220,1436,90657,1583.992411,55119,23.42274408,30.5723772,3.173500116,0.489758099,41.27756268,0,40.25943943
2020,BROOKLYN,11221,1542,85582,1801.780748,65548,21.5411135,25.48433082,44.13895445,0.473230352,4.117688299,0.05141268,33.81201655
2020,BROOKLYN,11222,371,36710,1010.623808,96435,10.69617078,79.94279488,3.426859166,0.185235631,5.295559793,0,15.23290656
2020,BROOKLYN,11223,703,80500,873.2919255,56908,20.56371576,55.4621118,5.327950311,0.111801242,25.00621118,0.223602484,13.4
2020,BROOKLYN,11224,270,45587,592.2741132,35776,31.18513906,54.92574638,20.62430079,0.057033803,7.388071161,0.015355255,20.30403404
2020,BROOKLYN,11225,3403,56072,6068.982736,65200,13.73619556,29.84912256,59.81238408,0.310315309,2.621629334,0,9.95149094
2020,BROOKLYN,11226,5480,96332,5688.660051,60896,15.28959795,15.71544243,66.57808413,0.741186729,2.933604617,0,15.94485737
2020,BROOKLYN,11228,177,43878,403.3912211,76278,11.26478382,53.63280004,1.374265008,0.077487579,37.0413419,0.054697115,12.13136424
2020,BROOKLYN,11229,820,81909,1001.110989,66332,16.00373002,63.61449902,6.421760734,0.330854973,22.8863739,0.108657168,9.747402605
2020,BROOKLYN,11230,1805,87188,2070.239024,57770,20.63095924,69.00490893,7.205119971,0.255769143,14.26113685,0.044730926,11.41212093
2020,BROOKLYN,11231,490,37796,1296.433485,108525,17.06886775,66.76897026,14.74230077,0.362472219,5.810138639,0.69584083,16.07048365
2020,BROOKLYN,11232,550,26501,2075.393381,74072,15.30886303,43.74174559,7.550658466,1.335798649,15.8975133,0.06037508,51.70370929
2020,BROOKLYN,11233,1923,79796,2409.895233,48278,25.6797963,13.08837536,73.7618427,0.132838739,2.283322472,0.026317109,15.6398817
2020,BROOKLYN,11234,440,90372,486.8764662,84116,8.601483228,38.81511973,45.28061789,0.337493914,7.44146417,0,10.83853406
2020,BROOKLYN,11235,1294,76921,1682.245421,56308,19.53403915,73.43378271,2.193159215,0.070201895,13.12255431,0,8.603632298
2020,BROOKLYN,11236,713,98821,721.5065624,74015,12.66682345,5.409781322,85.76314751,0.087026037,2.662389573,0.008095445,7.563169772
2020,BROOKLYN,11237,866,46772,1851.535106,57375,22.19985043,35.52125203,12.41554776,1.274266655,5.678611135,0.096211409,60.04874711
2020,BROOKLYN,11238,1333,55102,2419.14994,100568,12.18802814,53.68226199,29.57968858,0.185111248,5.965300715,0.016333345,10.33174839
2020,BROOKLYN,11239,137,12832,1067.643392,29571,31.29522966,25.33509975,59.47630923,2.860037406,3.592581047,0,18.60193267
2020,BROOKLYN,11249,349,42421,822.7057354,105222,19.44216052,,,,,,
2020,QUEENS,11354,664,52351,1268.361636,45838,19.85582898,18.75990908,3.125059693,0.204389601,64.99207274,0.106970258,14.2919906
2020,QUEENS,11355,1317,81358,1618.771356,45527,23.91809162,12.36018585,2.721305833,0.501487254,72.22153937,0.055311094,15.65426879
2020,QUEENS,11356,92,24178,380.5112085,64324,8.821127144,30.09347341,1.898420051,0.239887501,29.51029862,0.223343535,43.29969394
2020,QUEENS,11357,58,40118,144.5735082,82858,7.903304011,64.96335809,0.680492547,0,24.75945959,0.017448527,17.33635774
2020,QUEENS,11358,208,36665,567.2985136,70777,10.40780005,38.5926633,1.279149052,0.430928679,47.17032592,0,17.9299059
2020,QUEENS,11360,16,18892,84.69193309,84356,6.620040998,60.52297269,1.243912767,0.598136777,32.42113064,0,10.94643235
2020,QUEENS,11361,111,28531,389.0505065,86545,8.321606154,45.627563,4.759735025,0.315446357,42.05951421,0,12.06407066
2020,QUEENS,11362,13,18694,69.54102921,92212,4.86509157,45.07328555,2.62651118,0,45.97196962,0,10.17973681
2020,QUEENS,11363,27,6834,395.0834065,111094,9.355883411,54.71173544,1.931518876,0,34.06496927,0,12.58413813
2020,QUEENS,11364,145,35866,404.2826075,87135,7.381477818,38.12803212,3.844867005,0.708191602,48.444209,0,15.86181899
2020,QUEENS,11365,110,43730,251.5435628,70102,11.7373583,30.69517494,8.950377315,0.057168992,45.9295678,0.027441116,19.94283101
2020,QUEENS,11366,120,14109,850.5209441,91795,9.237926451,37.47962294,5.833156141,0,47.40236728,0,11.15599972
2020,QUEENS,11367,222,40141,553.050497,64332,15.50610194,52.95333948,7.167235495,0.440945667,28.11589148,0,18.11364939
2020,QUEENS,11368,964,108661,887.1628275,56904,17.6969783,31.3663596,9.689769098,0.918452803,13.31388447,0.010123227,74.940411
2020,QUEENS,11369,221,30693,720.0338839,61860,11.76040142,25.87886489,16.70087642,0.4170332,14.63851693,0.019548431,59.25455316
2020,QUEENS,11370,89,29366,303.0715794,67582,9.298013245,42.72968739,14.89477627,1.33147177,23.3705646,0,36.39923721
2020,QUEENS,11372,861,63107,1364.349438,61239,12.96871068,49.6299935,2.658976025,0.367629582,21.41442312,0.289983679,54.26973236
2020,QUEENS,11373,2316,96495,2400.124359,56835,13.01871701,15.68060521,1.76382196,0.678791647,49.6885849,0.027980724,41.76693093
2020,QUEENS,11374,468,43173,1084.01084,75266,12.78617937,49.19046626,4.359205985,0.088017974,32.62224075,0,18.2915248
2020,QUEENS,11375,871,72615,1199.476692,88117,8.957519456,58.00592164,3.254148592,0.145975349,28.56434621,0.012394133,15.23927563
2020,QUEENS,11377,1288,82021,1570.32955,59910,9.942723332,42.89998903,2.995574304,0.252374392,36.62110923,0,39.04609795
2020,QUEENS,11378,104,39033,266.4412164,82326,8.597811748,65.22685932,1.52947506,0.240821869,12.32546819,0.071734174,33.70993774
2020,QUEENS,11379,68,37780,179.9894124,89700,7.396209719,74.96294336,0.997882478,0.312334569,11.52991001,0,21.13022763
2020,QUEENS,11385,1664,105025,1584.38467,77044,10.7898508,74.48893121,2.716496072,0.307545822,6.03475363,0,46.69364437
2020,QUEENS,11411,53,20473,258.877546,104269,6.016496846,4.542568261,91.00278415,0.068382748,0.395643042,0,6.486592097
2020,QUEENS,11412,233,37987,613.3677311,85235,9.121591616,2.487693158,86.34269619,1.029299497,2.42188117,0.234290678,6.415352621
2020,QUEENS,11413,184,41810,440.0861038,91836,6.491255711,2.248265965,90.16264052,0.308538627,1.162401339,0.17699115,6.175556087
2020,QUEENS,11414,122,27672,440.8788667,75599,12.02749141,77.71754842,4.199190517,0,5.131540908,0,21.51272044
2020,QUEENS,11415,363,18464,1965.987868,75476,10.17964072,60.73440208,5.193890815,1.370233969,16.7190208,0.032495667,24.17136049
2020,QUEENS,11416,175,26087,670.8322153,73471,13.17316777,27.1016215,5.416490973,0.153333078,32.00061333,0.04983325,46.06125656
2020,QUEENS,11417,217,31156,696.4950571,79210,13.06402611,31.35190653,8.264860701,0.343433047,30.67787906,0.009628964,37.14854282
2020,QUEENS,11418,354,37666,939.8396432,73856,11.23555556,39.3033505,8.073594223,0.939839643,23.40837891,0,43.4025381
2020,QUEENS,11419,373,47955,777.8125326,79589,11.33872129,8.478782192,13.60025023,0.563027839,38.42143676,0.091752685,18.46939839
2020,QUEENS,11420,158,47266,334.2783396,85190,10.60420181,14.48398426,25.33745187,1.57195447,31.71624423,0.239072483,24.29865019
2020,QUEENS,11421,226,39654,569.9298936,77738,8.856512141,35.38356786,5.724517073,0.373228426,19.45579261,0,58.42033591
2020,QUEENS,11422,136,32786,414.8111999,93397,6.732991659,7.411700116,83.93216617,0.338559141,2.467516623,0,8.805587751
2020,QUEENS,11423,322,29532,1090.342679,70990,12.4618825,12.75565488,38.00284437,0.680617635,29.83881891,0,13.62928349
